,Date
0,2022-01-01
1,2022-01-02
2,2022-01-03
3,2022-01-04
4,2022-01-05
5,2022-01-06
6,2022-01-07
7,2022-01-08
8,2022-01-09
9,2022-01-10
10,2022-01-11
11,2022-01-12
12,2022-01-13
13,2022-01-14
14,2022-01-15
15,2022-01-16
16,2022-01-17
17,2022-01-18
18,2022-01-19
19,2022-01-20
20,2022-01-21
21,2022-01-22
22,2022-01-23
23,2022-01-24
24,2022-01-25
25,2022-01-26
26,2022-01-27
27,2022-01-28
28,2022-01-29
29,2022-01-30
30,2022-01-31
31,2022-02-01
32,2022-02-02
33,2022-02-03
34,2022-02-04
35,2022-02-05
36,2022-02-06
37,2022-02-07
38,2022-02-08
39,2022-02-09
40,2022-02-10
41,2022-02-11
42,2022-02-12
43,2022-02-13
44,2022-02-14
45,2022-02-15
46,2022-02-16
47,2022-02-17
48,2022-02-18
49,2022-02-19
50,2022-02-20
51,2022-02-21
52,2022-02-22
53,2022-02-23
54,2022-02-24
55,2022-02-25
56,2022-02-26
57,2022-02-27
58,2022-02-28
59,2022-03-01
60,2022-03-02
61,2022-03-03
62,2022-03-04
63,2022-03-05
64,2022-03-06
65,2022-03-07
66,2022-03-08
67,2022-03-09
68,2022-03-10
69,2022-03-11
70,2022-03-12
71,2022-03-13
72,2022-03-14
73,2022-03-15
74,2022-03-16
75,2022-03-17
76,2022-03-18
77,2022-03-19
78,2022-03-20
79,2022-03-21
80,2022-03-22
81,2022-03-23
82,2022-03-24
83,2022-03-25
84,2022-03-26
85,2022-03-27
86,2022-03-28
87,2022-03-29
88,2022-03-30
89,2022-03-31
90,2022-04-01
91,2022-04-02
92,2022-04-03
93,2022-04-04
94,2022-04-05
95,2022-04-06
96,2022-04-07
97,2022-04-08
98,2022-04-09
99,2022-04-10
100,2022-04-11
101,2022-04-12
102,2022-04-13
103,2022-04-14
104,2022-04-15
105,2022-04-16
106,2022-04-17
107,2022-04-18
108,2022-04-19
109,2022-04-20
110,2022-04-21
111,2022-04-22
112,2022-04-23
113,2022-04-24
114,2022-04-25
115,2022-04-26
116,2022-04-27
117,2022-04-28
118,2022-04-29
119,2022-04-30
120,2022-05-01
121,2022-05-02
122,2022-05-03
123,2022-05-04
124,2022-05-05
125,2022-05-06
126,2022-05-07
127,2022-05-08
128,2022-05-09
129,2022-05-10
130,2022-05-11
131,2022-05-12
132,2022-05-13
133,2022-05-14
134,2022-05-15
135,2022-05-16
136,2022-05-17
137,2022-05-18
138,2022-05-19
139,2022-05-20
140,2022-05-21
141,2022-05-22
142,2022-05-23
143,2022-05-24
144,2022-05-25
145,2022-05-26
146,2022-05-27
147,2022-05-28
148,2022-05-29
149,2022-05-30
150,2022-05-31
151,2022-06-01
152,2022-06-02
153,2022-06-03
154,2022-06-04
155,2022-06-05
156,2022-06-06
157,2022-06-07
158,2022-06-08
159,2022-06-09
160,2022-06-10
161,2022-06-11
162,2022-06-12
163,2022-06-13
164,2022-06-14
165,2022-06-15
166,2022-06-16
167,2022-06-17
168,2022-06-18
169,2022-06-19
170,2022-06-20
171,2022-06-21
172,2022-06-22
173,2022-06-23
