Date,Open,High,Low,Close,Adj Close,Volume
2022-01-01,46311.746094,47827.312500,46288.484375,47686.812500,47686.812500,24582667004
2022-01-02,47680.925781,47881.406250,46856.937500,47345.218750,47345.218750,27951569547
2022-01-03,47343.542969,47510.726563,45835.964844,46458.117188,46458.117188,33071628362
2022-01-04,46458.851563,47406.546875,45752.464844,45897.574219,45897.574219,42494677905
2022-01-05,45899.359375,46929.046875,42798.222656,43569.003906,43569.003906,36851084859
2022-01-06,43565.511719,43748.718750,42645.539063,43160.929688,43160.929688,30208048289
2022-01-07,43153.570313,43153.570313,41077.445313,41557.902344,41557.902344,84196607520
2022-01-08,41561.464844,42228.941406,40672.277344,41733.941406,41733.941406,28066355845
2022-01-09,41734.726563,42663.949219,41338.160156,41911.601563,41911.601563,21294384372
2022-01-10,41910.230469,42199.484375,39796.570313,41821.261719,41821.261719,32104232331
2022-01-11,41819.507813,43001.156250,41407.753906,42735.855469,42735.855469,26327648900
2022-01-12,42742.179688,44135.367188,42528.988281,43949.101563,43949.101563,33499938689
2022-01-13,43946.742188,44278.421875,42447.042969,42591.570313,42591.570313,47691135082
2022-01-14,42598.871094,43346.687500,41982.617188,43099.699219,43099.699219,23577403399
2022-01-15,43101.898438,43724.671875,42669.035156,43177.398438,43177.398438,18371348298
2022-01-16,43172.039063,43436.808594,42691.023438,43113.878906,43113.878906,17902097845
2022-01-17,43118.121094,43179.390625,41680.320313,42250.550781,42250.550781,21690904261
2022-01-18,42250.074219,42534.402344,41392.214844,42375.632813,42375.632813,22417209227
2022-01-19,42374.039063,42478.304688,41242.914063,41744.328125,41744.328125,23091543258
2022-01-20,41744.027344,43413.023438,40672.824219,40680.417969,40680.417969,20382033940
2022-01-21,40699.605469,41060.527344,35791.425781,36457.316406,36457.316406,43011992031
2022-01-22,36471.589844,36688.812500,34349.250000,35030.250000,35030.250000,39714385405
2022-01-23,35047.359375,36433.312500,34784.968750,36276.804688,36276.804688,26017975951
2022-01-24,36275.734375,37247.519531,33184.058594,36654.328125,36654.328125,41856658597
2022-01-25,36654.804688,37444.570313,35779.429688,36954.003906,36954.003906,26428189594
2022-01-26,36950.515625,38825.410156,36374.906250,36852.121094,36852.121094,31324598034
2022-01-27,36841.878906,37148.324219,35629.281250,37138.234375,37138.234375,25041426629
2022-01-28,37128.445313,37952.878906,36211.109375,37784.332031,37784.332031,22238830523
2022-01-29,37780.714844,38576.261719,37406.472656,38138.179688,38138.179688,17194183075
2022-01-30,38151.917969,38266.339844,37437.710938,37917.601563,37917.601563,14643548444
2022-01-31,37920.281250,38647.261719,36733.574219,38483.125000,38483.125000,20734730465
2022-02-01,38481.765625,39115.132813,38113.664063,38743.273438,38743.273438,20288500328
2022-02-02,38743.714844,38834.617188,36832.730469,36952.984375,36952.984375,19155189416
2022-02-03,36944.804688,37154.601563,36375.539063,37154.601563,37154.601563,18591534769
2022-02-04,37149.265625,41527.785156,37093.628906,41500.875000,41500.875000,29412210792
2022-02-05,41501.480469,41847.164063,41038.097656,41441.164063,41441.164063,19652846215
2022-02-06,41441.121094,42500.785156,41244.906250,42412.433594,42412.433594,16142097334
2022-02-07,42406.781250,44401.863281,41748.156250,43840.285156,43840.285156,28641855926
2022-02-08,43854.652344,45293.867188,42807.835938,44118.445313,44118.445313,33079398868
2022-02-09,44096.703125,44727.800781,43232.968750,44338.796875,44338.796875,23245887300
2022-02-10,44347.800781,45661.171875,43402.808594,43565.113281,43565.113281,32142048537
2022-02-11,43571.128906,43810.832031,42114.539063,42407.937500,42407.937500,26954925781
2022-02-12,42412.300781,42992.550781,41852.574219,42244.468750,42244.468750,18152390304
2022-02-13,42236.566406,42693.054688,41950.941406,42197.515625,42197.515625,14741589015
2022-02-14,42157.398438,42775.777344,41681.957031,42586.917969,42586.917969,20827783012
2022-02-15,42586.464844,44667.218750,42491.035156,44575.203125,44575.203125,22721659051
2022-02-16,44578.277344,44578.277344,43456.691406,43961.859375,43961.859375,19792547657
2022-02-17,43937.070313,44132.972656,40249.371094,40538.011719,40538.011719,26246662813
2022-02-18,40552.132813,40929.152344,39637.617188,40030.976563,40030.976563,23310007704
2022-02-19,40026.023438,40418.878906,39713.058594,40122.156250,40122.156250,13736557863
2022-02-20,40118.101563,40119.890625,38112.812500,38431.378906,38431.378906,18340576452
2022-02-21,38423.210938,39394.437500,36950.476563,37075.281250,37075.281250,29280402798
2022-02-22,37068.769531,38359.855469,36488.933594,38286.027344,38286.027344,25493150450
2022-02-23,38285.281250,39122.394531,37201.816406,37296.570313,37296.570313,21849073843
2022-02-24,37278.566406,38968.839844,34459.218750,38332.609375,38332.609375,46383802093
2022-02-25,38333.746094,39630.324219,38111.343750,39214.218750,39214.218750,26545599159
2022-02-26,39213.082031,40005.347656,38702.535156,39105.148438,39105.148438,17467554129
2022-02-27,39098.699219,39778.941406,37268.976563,37709.785156,37709.785156,23450127612
2022-02-28,37706.000000,43760.457031,37518.214844,43193.234375,43193.234375,35690014104
2022-03-01,43194.503906,44793.601563,42952.585938,44354.636719,44354.636719,32479047645
2022-03-02,44357.617188,45077.578125,43432.851563,43924.117188,43924.117188,29183112630
2022-03-03,43925.195313,44021.578125,41914.750000,42451.789063,42451.789063,24967782593
2022-03-04,42458.140625,42479.613281,38805.847656,39137.605469,39137.605469,28516271427
2022-03-05,39148.449219,39566.335938,38777.035156,39400.585938,39400.585938,16975917450
2022-03-06,39404.199219,39640.175781,38211.648438,38419.984375,38419.984375,19745229902
2022-03-07,38429.304688,39430.226563,37260.203125,38062.039063,38062.039063,28546143503
2022-03-08,38059.902344,39304.441406,37957.386719,38737.269531,38737.269531,25776583476
2022-03-09,38742.816406,42465.671875,38706.093750,41982.925781,41982.925781,32284121034
2022-03-10,41974.070313,42004.726563,38832.941406,39437.460938,39437.460938,31078064711
2022-03-11,39439.968750,40081.679688,38347.433594,38794.972656,38794.972656,26364890465
2022-03-12,38794.464844,39308.597656,38772.535156,38904.011719,38904.011719,14616450657
2022-03-13,38884.726563,39209.351563,37728.144531,37849.664063,37849.664063,17300745310
2022-03-14,37846.316406,39742.500000,37680.734375,39666.753906,39666.753906,24322159070
2022-03-15,39664.250000,39794.628906,38310.210938,39338.785156,39338.785156,23934000868
2022-03-16,39335.570313,41465.453125,39022.347656,41143.929688,41143.929688,39616916192
2022-03-17,41140.843750,41287.535156,40662.871094,40951.378906,40951.378906,22009601093
2022-03-18,40944.839844,42195.746094,40302.398438,41801.156250,41801.156250,34421564942
2022-03-19,41794.648438,42316.554688,41602.667969,42190.652344,42190.652344,19664853187
2022-03-20,42191.406250,42241.164063,41004.757813,41247.824219,41247.824219,20127946682
2022-03-21,41246.132813,41454.410156,40668.042969,41077.996094,41077.996094,24615543271
