,Date,PriceOil
262,04/01/2021,"47,62"
261,05/01/2021,"49,93"
260,06/01/2021,"50,63"
259,07/01/2021,"50,83"
258,08/01/2021,"52,24"
257,11/01/2021,"52,25"
256,12/01/2021,"53,21"
255,13/01/2021,"52,91"
254,14/01/2021,"53,57"
253,15/01/2021,"52,36"
252,17/01/2021,"52,20"
251,18/01/2021,"52,36"
250,19/01/2021,"52,98"
249,20/01/2021,"53,24"
248,21/01/2021,"53,13"
247,22/01/2021,"52,27"
246,25/01/2021,"52,77"
245,26/01/2021,"52,61"
244,27/01/2021,"52,85"
243,28/01/2021,"52,34"
242,29/01/2021,"52,20"
241,01/02/2021,"53,55"
240,02/02/2021,"54,76"
239,03/02/2021,"55,69"
238,04/02/2021,"56,23"
237,05/02/2021,"56,85"
236,08/02/2021,"57,97"
235,09/02/2021,"58,36"
234,10/02/2021,"58,68"
233,11/02/2021,"58,24"
232,12/02/2021,"59,47"
231,14/02/2021,"60,37"
230,15/02/2021,"60,09"
229,16/02/2021,"60,05"
228,17/02/2021,"61,14"
227,18/02/2021,"60,52"
226,19/02/2021,"59,24"
225,22/02/2021,"61,49"
224,23/02/2021,"61,67"
223,24/02/2021,"63,22"
222,25/02/2021,"63,53"
221,26/02/2021,"61,50"
220,01/03/2021,"60,64"
219,02/03/2021,"59,75"
218,03/03/2021,"61,28"
217,04/03/2021,"63,83"
216,05/03/2021,"66,09"
215,08/03/2021,"65,05"
214,09/03/2021,"64,01"
213,10/03/2021,"64,44"
212,11/03/2021,"66,02"
211,12/03/2021,"65,61"
210,15/03/2021,"65,39"
209,16/03/2021,"64,80"
208,17/03/2021,"64,60"
207,18/03/2021,"60,00"
206,19/03/2021,"61,42"
205,22/03/2021,"61,55"
204,23/03/2021,"57,76"
203,24/03/2021,"61,18"
202,25/03/2021,"58,56"
201,26/03/2021,"60,97"
200,29/03/2021,"61,56"
199,30/03/2021,"60,55"
198,31/03/2021,"59,16"
197,01/04/2021,"61,45"
196,05/04/2021,"58,65"
195,06/04/2021,"59,33"
194,07/04/2021,"59,77"
193,08/04/2021,"59,60"
192,09/04/2021,"59,32"
191,12/04/2021,"59,70"
190,13/04/2021,"60,18"
189,14/04/2021,"63,15"
