,Date,PriceBitcoin,PriceGold,PriceOil,PriceSilver
0,2021-01-01,29374.15,1887.6,67.98,26.52
1,2021-01-02,32127.27,1906.13,53.55,26.77
2,2021-01-03,32782.02,1924.67,60.64,27.01
3,2021-01-04,31971.91,1943.2,61.45,27.58
4,2021-01-05,33992.43,1940.35,64.59,27.87
5,2021-01-06,36824.36,1931.95,67.72,27.27
6,2021-01-07,39371.04,1920.1,75.23,27.47
7,2021-01-08,40797.61,1862.9,71.91,24.84
8,2021-01-09,40254.55,1857.68,68.59,24.99
9,2021-01-10,38356.44,1852.47,75.88,25.13
10,2021-01-11,35566.66,1847.25,84.05,25.48
11,2021-01-12,33922.96,1841.25,65.57,25.64
12,2021-01-13,37316.36,1858.85,52.91,25.77
13,2021-01-14,39187.33,1841.75,53.57,26.0
14,2021-01-15,36825.37,1839.0,52.36,25.05
15,2021-01-16,36178.14,1837.02,52.28,24.65
16,2021-01-17,35791.28,1835.03,52.2,24.25
17,2021-01-18,36630.07,1833.05,52.36,25.04
18,2021-01-19,36069.8,1834.7,52.98,25.5
19,2021-01-20,35547.75,1856.6,53.24,25.93
20,2021-01-21,30825.7,1862.1,53.13,26.02
21,2021-01-22,33005.76,1852.7,52.27,25.72
22,2021-01-23,32067.64,1854.08,52.44,25.67
23,2021-01-24,32289.38,1855.47,52.6,25.62
24,2021-01-25,32366.39,1856.85,52.77,25.65
25,2021-01-26,32569.85,1856.6,52.61,25.7
26,2021-01-27,30432.55,1843.0,52.85,25.55
27,2021-01-28,33466.1,1853.7,52.34,26.06
28,2021-01-29,34316.39,1863.8,52.2,27.04
29,2021-01-30,34269.52,1863.52,52.84,27.93
30,2021-01-31,33114.36,1863.23,53.48,28.82
31,2021-02-01,33537.18,1862.95,54.12,29.36
32,2021-02-02,35510.29,1833.1,54.76,26.47
33,2021-02-03,37472.09,1835.45,59.75,26.98
34,2021-02-04,36926.07,1785.9,62.78,26.33
35,2021-02-05,38144.31,1802.95,65.8,27.06
36,2021-02-06,39266.01,1813.72,68.83,27.2
37,2021-02-07,38903.44,1824.48,75.16,27.34
38,2021-02-08,46196.46,1835.25,71.26,27.6
39,2021-02-09,46481.11,1839.6,69.99,27.45
40,2021-02-10,44918.18,1842.65,76.95,27.13
41,2021-02-11,47909.33,1840.1,83.91,27.12
42,2021-02-12,47504.85,1816.35,66.5,27.38
43,2021-02-13,47105.52,1816.67,63.44,27.44
44,2021-02-14,48717.29,1816.98,60.37,27.51
45,2021-02-15,47945.06,1817.3,60.09,27.67
46,2021-02-16,49199.87,1794.25,60.05,27.37
47,2021-02-17,52149.01,1780.7,61.14,27.36
48,2021-02-18,51679.8,1773.15,60.52,27.13
49,2021-02-19,55888.13,1786.2,59.24,27.32
50,2021-02-20,56099.52,1793.28,59.99,27.4
51,2021-02-21,57539.95,1800.37,60.74,27.48
52,2021-02-22,54207.32,1807.45,61.49,28.17
53,2021-02-23,48824.43,1799.65,61.67,27.78
54,2021-02-24,49705.33,1788.0,63.22,27.96
55,2021-02-25,47093.85,1779.65,63.53,27.73
56,2021-02-26,46339.76,1742.85,61.5,26.5
57,2021-02-27,46188.45,1739.95,60.05,26.66
58,2021-02-28,45137.77,1737.05,58.6,26.83
59,2021-03-01,49631.24,1734.15,57.14,26.73
60,2021-03-02,48378.99,1723.85,55.69,26.93
61,2021-03-03,50538.24,1711.4,61.28,26.45
62,2021-03-04,48561.17,1712.1,62.88,25.53
63,2021-03-05,48927.3,1696.25,64.49,25.36
64,2021-03-06,48912.38,1693.18,68.81,25.42
65,2021-03-07,51206.69,1690.12,69.68,25.49
66,2021-03-08,52246.52,1687.05,70.56,25.32
67,2021-03-09,54824.12,1716.9,69.29,26.24
68,2021-03-10,56008.55,1716.2,75.08,26.19
69,2021-03-11,57805.12,1724.25,80.86,26.25
70,2021-03-12,57332.09,1704.8,66.26,25.96
71,2021-03-13,61243.09,1711.08,65.97,26.01
72,2021-03-14,59302.32,1717.37,65.68,26.06
73,2021-03-15,55907.2,1723.65,65.39,26.35
74,2021-03-16,56804.9,1735.0,64.8,26.06
75,2021-03-17,58870.89,1729.65,64.6,26.11
76,2021-03-18,57858.92,1725.9,60.0,26.4
77,2021-03-19,58346.65,1735.2,61.42,26.37
78,2021-03-20,58313.64,1735.52,61.46,26.16
79,2021-03-21,57523.42,1735.83,61.51,25.95
