,Date,US dollar
0,2021-01-01,1887.6
1,2021-01-04,1943.2
2,2021-01-05,1940.35
3,2021-01-06,1931.95
4,2021-01-07,1920.1
5,2021-01-08,1862.9
6,2021-01-11,1847.25
7,2021-01-12,1841.25
8,2021-01-13,1858.85
9,2021-01-14,1841.75
10,2021-01-15,1839.0
11,2021-01-18,1833.05
12,2021-01-19,1834.7
13,2021-01-20,1856.6
14,2021-01-21,1862.1
15,2021-01-22,1852.7
16,2021-01-25,1856.85
17,2021-01-26,1856.6
18,2021-01-27,1843.0
19,2021-01-28,1853.7
20,2021-01-29,1863.8
21,2021-02-01,1862.95
22,2021-02-02,1833.1
23,2021-02-03,1835.45
24,2021-02-04,1785.9
25,2021-02-05,1802.95
26,2021-02-08,1835.25
27,2021-02-09,1839.6
28,2021-02-10,1842.65
29,2021-02-11,1840.1
30,2021-02-12,1816.35
31,2021-02-15,1817.3
32,2021-02-16,1794.25
33,2021-02-17,1780.7
34,2021-02-18,1773.15
35,2021-02-19,1786.2
36,2021-02-22,1807.45
37,2021-02-23,1799.65
38,2021-02-24,1788.0
39,2021-02-25,1779.65
40,2021-02-26,1742.85
41,2021-03-01,1734.15
42,2021-03-02,1723.85
43,2021-03-03,1711.4
44,2021-03-04,1712.1
45,2021-03-05,1696.25
46,2021-03-08,1687.05
47,2021-03-09,1716.9
48,2021-03-10,1716.2
49,2021-03-11,1724.25
50,2021-03-12,1704.8
51,2021-03-15,1723.65
52,2021-03-16,1735.0
53,2021-03-17,1729.65
54,2021-03-18,1725.9
55,2021-03-19,1735.2
56,2021-03-22,1736.15
57,2021-03-23,1726.2
58,2021-03-24,1730.5
59,2021-03-25,1737.3
60,2021-03-26,1731.8
61,2021-03-29,1705.95
62,2021-03-30,1683.95
63,2021-03-31,1691.05
64,2021-04-01,1726.05
65,2021-04-02,1726.05
66,2021-04-05,1726.05
67,2021-04-06,1744.65
68,2021-04-07,1738.05
69,2021-04-08,1755.5
70,2021-04-09,1741.2
71,2021-04-12,1732.85
72,2021-04-13,1747.95
73,2021-04-14,1735.55
74,2021-04-15,1757.2
75,2021-04-16,1774.45
76,2021-04-19,1774.5
77,2021-04-20,1777.85
78,2021-04-21,1798.2
79,2021-04-22,1787.75
80,2021-04-23,1781.8
81,2021-04-26,1773.35
82,2021-04-27,1784.15
83,2021-04-28,1772.2
84,2021-04-29,1762.65
85,2021-04-30,1767.65
86,2021-05-03,1767.65
87,2021-05-04,1797.75
88,2021-05-05,1782.25
89,2021-05-06,1813.15
90,2021-05-07,1836.55
91,2021-05-10,1840.45
92,2021-05-11,1829.1
93,2021-05-12,1830.7
94,2021-05-13,1821.8
95,2021-05-14,1838.1
96,2021-05-17,1853.7
97,2021-05-18,1866.75
98,2021-05-19,1888.45
99,2021-05-20,1878.3
100,2021-05-21,1875.9
101,2021-05-24,1880.15
102,2021-05-25,1887.0
103,2021-05-26,1899.75
104,2021-05-27,1891.45
105,2021-05-28,1899.95
106,2021-05-31,1899.95
107,2021-06-01,1899.35
108,2021-06-02,1902.75
109,2021-06-03,1866.55
110,2021-06-04,1890.6
111,2021-06-07,1888.4
112,2021-06-08,1893.15
113,2021-06-09,1894.6
114,2021-06-10,1888.65
115,2021-06-11,1881.05
116,2021-06-14,1865.6
117,2021-06-15,1865.1
118,2021-06-16,1860.75
