,Date,Price
0,"Dec 31, 2021",23.381
1,"Dec 30, 2021",23.091
2,"Dec 29, 2021",22.848
3,"Dec 28, 2021",23.111
4,"Dec 27, 2021",22.979
5,"Dec 26, 2021",22.878
6,"Dec 24, 2021",22.91
7,"Dec 23, 2021",22.94
8,"Dec 22, 2021",22.792
9,"Dec 21, 2021",22.502
10,"Dec 20, 2021",22.275
11,"Dec 19, 2021",22.363
12,"Dec 17, 2021",22.507
13,"Dec 16, 2021",22.455
14,"Dec 15, 2021",21.508
15,"Dec 14, 2021",21.887
16,"Dec 13, 2021",22.29
17,"Dec 12, 2021",22.235
18,"Dec 10, 2021",22.16
19,"Dec 09, 2021",21.974
20,"Dec 08, 2021",22.39
21,"Dec 07, 2021",22.487
22,"Dec 06, 2021",22.228
23,"Dec 05, 2021",22.602
24,"Dec 03, 2021",22.445
25,"Dec 02, 2021",22.28
26,"Dec 01, 2021",22.299
27,"Nov 30, 2021",22.765
28,"Nov 29, 2021",22.799
29,"Nov 28, 2021",23.59
30,"Nov 26, 2021",23.107
31,"Nov 25, 2021",23.582
32,"Nov 24, 2021",23.496
33,"Nov 23, 2021",23.435
34,"Nov 22, 2021",24.297
35,"Nov 21, 2021",24.65
36,"Nov 19, 2021",24.781
37,"Nov 18, 2021",24.9
38,"Nov 17, 2021",25.167
39,"Nov 16, 2021",24.944
40,"Nov 15, 2021",25.105
41,"Nov 14, 2021",25.427
42,"Nov 12, 2021",25.346
43,"Nov 11, 2021",25.301
44,"Nov 10, 2021",24.772
45,"Nov 09, 2021",24.318
46,"Nov 08, 2021",24.542
47,"Nov 07, 2021",24.215
48,"Nov 05, 2021",24.157
49,"Nov 04, 2021",23.911
50,"Nov 03, 2021",23.231
51,"Nov 02, 2021",23.507
52,"Nov 01, 2021",24.073
53,"Oct 31, 2021",23.84
54,"Oct 29, 2021",23.949
55,"Oct 28, 2021",24.12
56,"Oct 27, 2021",24.191
57,"Oct 26, 2021",24.088
58,"Oct 25, 2021",24.592
59,"Oct 24, 2021",24.453
60,"Oct 22, 2021",24.449
61,"Oct 21, 2021",24.17
62,"Oct 20, 2021",24.445
63,"Oct 19, 2021",23.883
64,"Oct 18, 2021",23.264
65,"Oct 17, 2021",23.387
66,"Oct 15, 2021",23.349
67,"Oct 14, 2021",23.477
68,"Oct 13, 2021",23.17
69,"Oct 12, 2021",22.514
70,"Oct 11, 2021",22.665
71,"Oct 10, 2021",22.617
